<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200928;000000;174.2400000;175.3800000;171.2900000;172.7400000;50397970
20200929;000000;172.7600000;173.4700000;170.0000000;171.4400000;48779600
20200930;000000;171.0200000;171.9800000;169.8000000;169.9700000;48605100
20201001;000000;171.1800000;171.4000000;167.9700000;168.4000000;60296370
20201002;000000;167.5000000;169.9500000;167.2200000;169.4700000;40191130
20201005;000000;170.1200000;170.8800000;168.5800000;170.6400000;37393020
20201006;000000;170.7000000;173.4100000;170.5000000;171.3500000;64082980
20201007;000000;171.7500000;172.2600000;167.0400000;168.2300000;65800100
20201008;000000;168.1800000;168.8600000;166.1500000;167.4300000;36621350
20201009;000000;167.8000000;168.1900000;165.7700000;166.9700000;41514910
20201012;000000;167.6600000;169.8000000;166.8700000;169.0500000;38899590
20201013;000000;169.1300000;169.4700000;165.8200000;166.3700000;34687990
20201014;000000;166.6100000;167.6300000;165.7100000;167.2400000;26679740
20201015;000000;166.8500000;168.8500000;166.0000000;167.1600000;39889410
20201016;000000;167.2200000;167.2500000;163.5600000;163.9800000;50402810
20201019;000000;164.7600000;165.6000000;163.0000000;163.6000000;33916860
20201020;000000;163.7400000;167.1200000;162.8000000;166.5300000;50468030
20201021;000000;166.8000000;167.3000000;163.8700000;164.3700000;36678920
20201022;000000;163.8500000;166.5300000;163.6600000;165.2700000;39939480
20201023;000000;165.1500000;165.8800000;164.3900000;164.9600000;32909950
20201026;000000;164.4400000;164.9600000;161.1000000;162.1700000;53436340
20201027;000000;162.1800000;162.6200000;158.2100000;159.2100000;58268970
20201028;000000;158.9800000;158.9900000;153.7000000;154.3000000;86858100
20201029;000000;155.0800000;157.3000000;154.2000000;156.7400000;52752800
20201030;000000;155.0900000;156.2000000;154.0800000;154.2800000;42661020
20201102;000000;153.9600000;157.9800000;151.9000000;157.7400000;69600850
20201103;000000;158.2100000;161.9200000;157.4400000;161.0900000;71067000
20201105;000000;163.8100000;165.2500000;161.9900000;163.7000000;73016160
20201106;000000;163.0000000;165.8400000;161.5200000;164.9200000;51633910
20201109;000000;166.7200000;171.5000000;164.9000000;170.1300000;103358560
20201110;000000;169.0300000;173.6400000;167.6300000;172.9200000;76531040
20201111;000000;173.5000000;175.1500000;170.2600000;170.5300000;72020230
20201112;000000;170.2000000;175.3000000;169.7500000;172.9100000;71917150
20201113;000000;172.8800000;181.2700000;172.4200000;180.3000000;104602920
20201116;000000;181.0200000;185.6200000;180.3000000;185.3200000;89217810
20201117;000000;185.1000000;185.3100000;178.8300000;182.9000000;99307240
20201118;000000;182.2600000;187.6900000;180.8000000;185.0000000;69101570
20201119;000000;185.2000000;185.8800000;181.9200000;184.1600000;53164780
20201120;000000;184.1000000;184.3600000;182.1000000;183.2100000;31836360
20201123;000000;183.6400000;185.6300000;182.7700000;184.1500000;41043100
20201124;000000;185.0300000;186.5000000;183.9700000;185.6400000;33537560
