<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20210307,000000,25.4000000,25.6150000,25.3700000,25.4900000,2375
20210308,000000,25.4950000,25.9650000,24.9700000,25.2250000,55659
20210309,000000,25.2200000,26.2200000,25.0900000,26.0200000,63539
20210310,000000,26.0150000,26.3300000,25.6100000,26.2700000,50987
20210311,000000,26.2700000,26.5450000,25.8850000,26.1550000,51182
20210312,000000,26.1550000,26.2350000,25.4250000,26.0100000,52445
20210314,000000,26.0700000,26.1550000,26.0000000,26.0600000,1796
20210315,000000,26.0550000,26.3900000,25.8450000,26.3150000,44723
20210316,000000,26.3150000,26.4050000,25.8950000,25.9950000,43457
20210317,000000,25.9900000,26.6150000,25.8050000,26.4650000,53214
20210318,000000,26.4600000,26.7400000,25.8750000,26.0950000,73140
20210319,000000,26.0950000,26.4000000,25.9250000,26.3350000,47675
20210321,000000,26.3400000,26.3500000,25.9300000,25.9650000,3408
20210322,000000,25.9650000,26.0350000,25.4500000,25.8850000,55817
20210323,000000,25.8850000,25.9150000,25.0500000,25.0950000,59050
20210324,000000,25.1000000,25.4300000,25.0200000,25.1350000,38985
20210325,000000,25.1350000,25.2550000,24.4350000,25.1750000,81335
20210326,000000,25.1750000,25.3350000,24.9200000,25.1100000,37506
20210328,000000,25.1050000,25.1500000,25.0400000,25.0750000,1034
20210329,000000,25.0700000,25.0850000,24.4800000,24.7250000,48686
20210330,000000,24.7200000,24.7700000,23.8800000,24.0400000,66336
20210331,000000,24.0400000,24.5650000,23.7400000,24.4600000,61611
20210401,000000,24.4600000,25.0450000,24.2700000,25.0450000,57060
20210402,000000,24.9480000,24.9480000,24.9480000,24.9480000,1
20210404,000000,24.9480000,25.0700000,24.9480000,25.0500000,1518
20210405,000000,25.0500000,25.1400000,24.6600000,24.8450000,35070
20210406,000000,24.8500000,25.3550000,24.7950000,25.2100000,47512
20210407,000000,25.2050000,25.3300000,24.8950000,25.2100000,37492
20210408,000000,25.2050000,25.6750000,25.0200000,25.4700000,45934
20210409,000000,25.4700000,25.5550000,25.0100000,25.3250000,46134
20210411,000000,25.3000000,25.3200000,25.2500000,25.3050000,909
20210412,000000,25.3000000,25.3300000,24.7250000,24.8300000,50968
20210413,000000,24.8300000,25.5400000,24.6800000,25.4100000,60381
20210414,000000,25.4050000,25.5900000,25.2350000,25.4750000,43009
20210415,000000,25.4700000,26.0700000,25.3800000,25.9100000,66025
20210416,000000,25.9050000,26.3800000,25.7950000,26.0400000,50896
20210418,000000,26.0550000,26.0700000,25.9750000,25.9850000,1403
20210419,000000,25.9850000,26.2800000,25.6700000,25.9000000,59314
20210420,000000,25.9050000,26.1500000,25.7250000,25.8100000,58472
20210421,000000,25.8050000,26.7300000,25.7950000,26.6000000,79806
20210422,000000,26.6000000,26.6650000,26.0250000,26.1450000,69971
20210423,000000,26.1500000,26.4700000,25.8900000,26.0500000,52253
20210425,000000,26.0450000,26.0500000,25.9600000,25.9950000,909
20210426,000000,25.9950000,26.2900000,25.8950000,26.2650000,35308
20210427,000000,26.2600000,26.5150000,26.1000000,26.2800000,35715
20210428,000000,26.2800000,26.3650000,25.8400000,26.3650000,36527
20210429,000000,26.3600000,26.5450000,25.7350000,26.1700000,4060
20210430,000000,26.1700000,26.2750000,25.8550000,25.9900000,50329
20210502,000000,25.9900000,26.0000000,25.8900000,25.9150000,908
20210503,000000,25.9150000,27.1150000,25.8500000,27.0000000,56925
