<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20210928,000000,979.8000000,988.4000000,957.3000000,963.5000000,3941
20210929,000000,964.6000000,969.2000000,939.0000000,948.5000000,642
20210930,000000,952.0000000,966.9000000,951.5000000,960.7000000,294
20211001,000000,960.7000000,978.0000000,954.9000000,971.7000000,9055
20211003,000000,974.5000000,981.1000000,973.2000000,978.5000000,976
20211004,000000,978.9000000,980.5000000,943.0000000,963.6000000,12515
20211005,000000,964.9000000,964.9000000,945.0000000,959.6000000,8290
20211006,000000,959.5000000,988.8000000,939.1000000,982.3000000,16763
20211007,000000,982.0000000,997.7000000,975.3000000,981.6000000,11220
20211008,000000,981.2000000,1041.7000000,977.9000000,1027.5000000,22878
20211010,000000,1027.1000000,1033.1000000,1020.5000000,1021.5000000,712
20211011,000000,1021.2000000,1037.6000000,1003.4000000,1005.1000000,14780
20211012,000000,1004.8000000,1020.7000000,1002.0000000,1005.7000000,9748
20211013,000000,1005.9000000,1033.8000000,1003.0000000,1021.3000000,12457
20211014,000000,1021.1000000,1064.2000000,1015.0000000,1055.2000000,19394
20211015,000000,1055.2000000,1062.9000000,1043.6000000,1057.1000000,15706
20211017,000000,1059.0000000,1062.7000000,1058.2000000,1058.5000000,358
20211018,000000,1058.3000000,1058.5000000,1034.8000000,1038.2000000,12578
20211019,000000,1037.8000000,1059.3000000,1037.7000000,1042.2000000,11420
20211020,000000,1042.1000000,1058.0000000,1036.7000000,1051.0000000,10460
20211021,000000,1050.6000000,1066.8000000,1038.0000000,1054.7000000,12111
20211022,000000,1054.8000000,1080.8000000,1042.8000000,1043.5000000,17214
20211024,000000,1044.8000000,1046.8000000,1042.4000000,1046.8000000,416
20211025,000000,1047.0000000,1066.6000000,1040.4000000,1061.3000000,12547
20211026,000000,1061.7000000,1062.6000000,1017.0000000,1032.2000000,16307
20211027,000000,1032.2000000,1033.8000000,1010.6000000,1012.5000000,12113
20211028,000000,1012.8000000,1035.7000000,1008.9000000,1022.9000000,9860
20211029,000000,1022.8000000,1025.7000000,1005.2000000,1021.8000000,11698
20211031,000000,1020.9000000,1022.6000000,1018.9000000,1021.5000000,202
20211101,000000,1021.2000000,1070.2000000,1021.2000000,1062.7000000,17541
20211102,000000,1062.7000000,1064.6000000,1038.5000000,1040.2000000,14687
20211103,000000,1040.1000000,1049.0000000,1021.5000000,1043.2000000,10880
20211104,000000,1043.6000000,1050.2000000,1025.4000000,1031.4000000,11112
20211105,000000,1031.2000000,1042.8000000,1022.7000000,1035.0000000,8070
20211107,000000,1036.2000000,1039.3000000,1035.1000000,1037.4000000,227
20211108,000000,1038.1000000,1066.6000000,1033.3000000,1058.1000000,12068
20211109,000000,1058.5000000,1067.8000000,1047.4000000,1062.5000000,10171
20211110,000000,1062.6000000,1099.0000000,1054.6000000,1074.3000000,21527
20211111,000000,1074.6000000,1099.5000000,1070.4000000,1094.5000000,11930
20211112,000000,1094.5000000,1097.4000000,1073.0000000,1088.6000000,11168
20211114,000000,1089.0000000,1093.0000000,1086.7000000,1091.6000000,332
20211115,000000,1091.9000000,1103.3000000,1075.7000000,1092.0000000,11374
20211116,000000,1092.0000000,1113.1000000,1065.9000000,1070.3000000,18582
20211117,000000,1070.1000000,1080.5000000,1059.5000000,1062.8000000,10786
20211118,000000,1062.7000000,1080.0000000,1048.0000000,1056.0000000,14039
20211119,000000,1055.8000000,1065.4000000,1033.1000000,1035.9000000,13552
20211121,000000,1034.5000000,1036.7000000,1029.2000000,1031.4000000,380
20211122,000000,1031.4000000,1044.0000000,1013.4000000,1018.9000000,14723
20211123,000000,1018.9000000,1024.3000000,956.5000000,979.0000000,29679
20211124,000000,979.1000000,984.7000000,965.3000000,980.4000000,15103
20211125,000000,980.4000000,999.9000000,980.4000000,990.9000000,6416
20211126,000000,992.0000000,992.9000000,944.9000000,952.9000000,20686
20211128,000000,954.0000000,978.4000000,951.3000000,978.4000000,876
20211129,000000,978.1000000,979.5000000,957.4000000,961.7000000,11289
20211130,000000,962.5000000,967.2000000,922.7000000,932.7000000,23009
20211201,000000,933.4000000,953.5000000,925.0000000,930.4000000,15288
20211202,000000,931.3000000,947.0000000,926.9000000,930.6000000,11946
20211203,000000,929.6000000,951.9000000,917.9000000,927.3000000,14887
20211205,000000,929.1000000,935.0000000,929.0000000,935.0000000,395
20211206,000000,935.0000000,939.6000000,916.4000000,937.1000000,13279
20211207,000000,937.5000000,956.0000000,931.5000000,950.0000000,13062
20211208,000000,950.2000000,961.1000000,942.7000000,953.4000000,8986
20211209,000000,953.5000000,955.3000000,928.7000000,931.3000000,13866
20211210,000000,931.2000000,940.4000000,925.0000000,937.9000000,9689
20211212,000000,938.5000000,942.5000000,937.2000000,940.0000000,304
20211213,000000,940.2000000,949.7000000,921.6000000,923.7000000,14221
20211214,000000,923.8000000,930.1000000,903.5000000,915.4000000,18149
20211215,000000,915.3000000,918.0000000,886.0000000,913.7000000,23337
20211216,000000,913.7000000,931.7000000,908.0000000,929.0000000,18890
20211217,000000,929.5000000,942.2000000,925.1000000,927.1000000,13082
20211219,000000,930.8000000,932.0000000,920.6000000,921.8000000,335
20211220,000000,922.3000000,928.7000000,909.2000000,926.6000000,13316
20211221,000000,926.8000000,938.5000000,922.4000000,928.8000000,12222
20211222,000000,928.9000000,970.7000000,924.7000000,964.5000000,16629
20211223,000000,964.3000000,976.8000000,960.5000000,974.6000000,9786
